#species   excess proportion of modular exons      excess proportion of short modular exons
macrostomum_lignano_prjna371498	0.003	0.126
opisthorchis_felineus_prjna413383	0.057	0.125
schmidtea_mediterranea_prjna379262	0.068	0.113
schistosoma_mansoni_prjea36577	0.034	0.090
hymenolepis_microstoma_prjeb124	0.104	0.082
parastrongyloides_trichosuri_prjeb515	0.075	0.080
caenorhabditis_elegans_prjna13758	0.054	0.077
caenorhabditis_briggsae_prjna10731	0.057	0.067
clonorchis_sinensis_prjna386618	0.079	0.064
strongyloides_papillosus_prjeb525	0.091	0.055
halicephalobus_mephisto_prjna528747	0.027	0.053
mesocestoides_corti_prjeb510	0.062	0.051
strongyloides_stercoralis_prjeb528	0.071	0.049
gyrodactylus_salaris_prjna244375	0.127	0.048
steinernema_scapterisci_prjna204942	0.032	0.047
strongyloides_ratti_prjeb125	0.052	0.046
caenorhabditis_brenneri_prjna20035	0.091	0.046
ancylostoma_duodenale_prjna72581	0.135	0.046
steinernema_glaseri_prjna204943	0.032	0.043
fasciola_hepatica_prjeb25283	0.038	0.041
dictyocaulus_viviparus_prjeb5116	0.047	0.041
steinernema_monticolum_prjna205067	0.031	0.040
steinernema_feltiae_prjna204661	0.028	0.040
ancylostoma_caninum_prjna72585	0.106	0.040
heligmosomoides_polygyrus_prjeb15396	0.098	0.039
haemonchus_contortus_prjeb506	0.079	0.038
necator_americanus_prjna72135	0.110	0.036
taenia_multiceps_prjna307624	0.079	0.035
oesophagostomum_dentatum_prjna72579	0.115	0.035
diploscapter_pachys_prjna280107	0.072	0.035
echinococcus_multilocularis_prjeb122	0.089	0.034
caenorhabditis_remanei_prjna53967	0.086	0.034
caenorhabditis_nigoni_prjna384657	0.095	0.034
caenorhabditis_latens_prjna248912	0.078	0.034
teladorsagia_circumcincta_prjna72569	0.115	0.033
ascaris_suum_prjna62057	0.026	0.033
trichuris_muris_prjeb126	0.044	0.032
caenorhabditis_japonica_prjna12591	0.074	0.032
ancylostoma_ceylanicum_prjna72583	0.070	0.032
dictyocaulus_viviparus_prjna72587	0.102	0.031
cylicostephanus_goldi_prjeb498	0.124	0.031
brugia_malayi_prjna10729	0.072	0.031
strongyloides_venezuelensis_prjeb530	0.084	0.030
echinococcus_granulosus_prjeb121	0.089	0.030
caenorhabditis_angaria_prjna51225	0.100	0.030
schmidtea_mediterranea_prjna12585	0.081	0.028
caenorhabditis_remanei_prjna248911	0.075	0.028
caenorhabditis_tropicalis_prjna53597	0.090	0.027
mesorhabditis_belari_prjeb30104	0.090	0.026
strongylus_vulgaris_prjeb531	0.115	0.025
onchocerca_volvulus_prjeb513	0.051	0.025
rhabditophanes_kr3021_prjeb1297	0.070	0.024
caenorhabditis_remanei_prjna248909	0.075	0.024
ancylostoma_ceylanicum_prjna231479	0.101	0.023
micoletzkya_japonica_prjeb27334	0.108	0.022
wuchereria_bancrofti_prjna275548	0.086	0.021
trichuris_suis_prjna179528	0.077	0.021
caenorhabditis_sp34_prjdb5687	0.087	0.021
trichinella_pseudospiralis_iss141prjna257433	0.039	0.020
haemonchus_contortus_prjna205202	0.082	0.020
diploscapter_coronatus_prjdb3143	0.055	0.019
caenorhabditis_sinica_prjna194557	0.086	0.019
brugia_pahangi_prjeb497	0.088	0.019
trichuris_suis_prjna208416	0.072	0.018
trichinella_pseudospiralis_iss13prjna257433	0.051	0.018
oscheius_tipulae_prjeb15512	0.091	0.018
nippostrongylus_brasiliensis_prjeb511	0.104	0.018
onchocerca_ochengi_prjeb1465	0.078	0.017
ascaris_suum_prjna80881	0.098	0.017
trichuris_suis_prjna208415	0.074	0.016
trichinella_pseudospiralis_iss588prjna257433	0.050	0.016
parapristionchus_giblindavisi_prjeb27334	0.108	0.016
acrobeloides_nanus_prjeb26554	0.078	0.016
onchocerca_flexuosa_prjeb512	0.098	0.015
loa_loa_prjna246086	0.092	0.015
toxocara_canis_prjna248777	0.106	0.014
plectus_sambesii_prjna390260	0.084	0.014
onchocerca_flexuosa_prjna230512	0.083	0.014
taenia_asiatica_prjna299871	0.070	0.013
onchocerca_ochengi_prjeb1204	0.088	0.012
trichinella_t9_prjna257433	0.050	0.011
trichinella_t6_prjna257433	0.059	0.011
pristionchus_mayeri_prjeb27334	0.118	0.011
pristionchus_japonicus_prjeb27334	0.123	0.011
pristionchus_entomophagus_prjeb27334	0.114	0.011
fasciola_hepatica_prjna179522	0.133	0.011
acanthocheilonema_viteae_prjeb1697	0.077	0.011
taenia_solium_prjna170813	0.095	0.010
pristionchus_pacificus_prjna12644	0.103	0.010
pristionchus_fissidentatus_prjeb27334	0.110	0.010
pristionchus_exspectatus_prjeb24288	0.108	0.010
hymenolepis_nana_prjeb508	0.106	0.010
echinococcus_granulosus_prjna182977	0.072	0.010
wuchereria_bancrofti_prjeb536	0.092	0.009
trichinella_zimbabwensis_prjna257433	0.055	0.009
trichinella_nativa_prjna257433	0.058	0.009
trichinella_nativa_prjna179527	0.068	0.009
schistosoma_japonicum_prjea34885	0.080	0.009
ascaris_lumbricoides_prjeb4950	0.109	0.009
trichinella_pseudospiralis_iss176prjna257433	0.051	0.008
taenia_saginata_prjna71493	0.071	0.008
pristionchus_arcanus_prjeb27334	0.108	0.008
dirofilaria_immitis_prjeb1797	0.081	0.008
trichuris_trichiura_prjeb535	0.078	0.007
trichinella_nelsoni_prjna257433	0.057	0.007
trichinella_britovi_prjna257433	0.057	0.007
thelazia_callipaeda_prjeb1205	0.086	0.007
pristionchus_maxplancki_prjeb27334	0.108	0.007
parascaris_univalens_prjna386823	0.044	0.007
meloidogyne_incognita_prjeb8714	0.065	0.007
loa_loa_prjna37757	0.096	0.007
hymenolepis_diminuta_prjeb507	0.096	0.007
trichinella_patagoniensis_prjna257433	0.053	0.006
trichinella_papuae_prjna257433	0.052	0.006
trichinella_murrelli_prjna257433	0.055	0.005
haemonchus_placei_prjeb509	0.102	0.005
trichinella_t8_prjna257433	0.059	0.004
trichinella_pseudospiralis_iss470prjna257433	0.069	0.004
litomosoides_sigmodontis_prjeb3075	0.083	0.004
heterodera_glycines_prjna381081	0.081	0.004
bursaphelenchus_xylophilus_prjea64437	0.101	0.004
syphacia_muris_prjeb524	0.084	0.003
meloidogyne_graminicola_prjna411966	0.076	0.003
macrostomum_lignano_prjna284736	0.055	0.003
trichinella_spiralis_prjna257433	0.056	0.002
meloidogyne_floridensis_prjna340324	0.070	0.002
heterorhabditis_bacteriophora_prjna13977	0.099	0.002
romanomermis_culicivorax_prjeb1358	0.086	0.001
clonorchis_sinensis_prjda72781	0.067	0.001
trichinella_spiralis_prjna12603	0.069	0.000
panagrellus_redivivus_prjna186477	0.103	-0.000
meloidogyne_arenaria_prjna340324	0.069	0.000
globodera_rostochiensis_prjeb13504	0.081	-0.001
elaeophora_elaphi_prjeb502	0.080	-0.001
schistosoma_haematobium_prjna78265	0.091	-0.002
opisthorchis_viverrini_prjna222628	0.063	-0.002
dracunculus_medinensis_prjeb500	0.087	-0.002
enterobius_vermicularis_prjeb503	0.088	-0.003
brugia_timori_prjeb4663	0.102	-0.005
meloidogyne_javanica_prjna340324	0.068	-0.006
meloidogyne_arenaria_prjna438575	0.086	-0.006
toxocara_canis_prjeb533	0.105	-0.008
angiostrongylus_cantonensis_prjeb493	0.100	-0.008
taenia_asiatica_prjeb532	0.089	-0.009
meloidogyne_arenaria_prjeb8714	0.088	-0.009
meloidogyne_javanica_prjeb8714	0.089	-0.010
ditylenchus_dipsaci_prjna498219	0.057	-0.010
anisakis_simplex_prjeb496	0.114	-0.010
meloidogyne_incognita_prjna340324	0.069	-0.011
hydatigera_taeniaeformis_prjeb534	0.097	-0.011
heligmosomoides_polygyrus_prjeb1203	0.115	-0.011
